manufacturer,type,fuel,transmission,drive,paint_color,odometer_mean,odometer_std,odometer_median,odometer_count,year_mean,year_std,year_median,year_count,price_mean,price_std,price_median,price_count,odometer_cv,year_cv,price_cv
acura,SUV,gas,automatic,fwd,brown,84921.90476190476,25895.979768884517,80556.0,21,2015.0,1.1401754250991445,2015.0,21,18248.95238095238,2702.261376628665,17590.0,21,0.3049387533344781,0.0005658438834238931,0.1480776167430406
acura,SUV,gas,automatic,fwd,custom,96211.0,46153.08728568437,114479.0,6,2012.8333333333333,3.81663027639129,2011.0,6,16133.0,9624.842751962236,10995.0,6,0.47970696994818024,0.0018961481873269637,0.5965934886234573
acura,SUV,gas,automatic,fwd,grey,99962.8,56100.669830735016,85672.0,15,2013.4,4.982827653910117,2015.0,15,16490.066666666666,9745.707791247434,18900.0,15,0.5612154704623622,0.0024748324495431195,0.5910047538466047
acura,SUV,gas,automatic,fwd,red,59088.125,52493.589158071765,48749.0,8,2015.375,3.420004177106914,2014.0,8,22299.625,12237.932177543022,19243.5,8,0.8883949043580545,0.0016969567336634194,0.5487954249249941
acura,SUV,gas,automatic,fwd,silver,94997.04166666667,47837.44199890071,83867.0,24,2014.0,3.2168037066250093,2013.5,24,11347.625,9232.86078334149,12499.0,24,0.5035677023160006,0.001597221304183222,0.8136381651086892
acura,SUV,gas,automatic,fwd,white,64028.1724137931,39063.57003346244,50000.0,58,2015.2413793103449,1.940431719259467,2015.0,58,10898.620689655172,12029.85012641994,6893.5,58,0.6100997195579375,0.0009628780647227087,1.103795651667969
acura,SUV,gas,automatic,rwd,black,146000.0,,146000.0,1,2008.0,,2008.0,1,8000.0,,8000.0,1,0.0,0.0,0.0
acura,SUV,gas,automatic,rwd,custom,150000.0,0.0,150000.0,3,2003.0,0.0,2003.0,3,2016.6666666666667,550.7570547286102,1750.0,3,0.0,0.0,0.27310267176625297
acura,SUV,gas,automatic,rwd,grey,63074.0,,63074.0,1,2013.0,,2013.0,1,17500.0,,17500.0,1,0.0,0.0,0.0
acura,SUV,gas,automatic,rwd,silver,161000.0,,161000.0,1,2003.0,,2003.0,1,4949.0,,4949.0,1,0.0,0.0,0.0
acura,SUV,gas,automatic,rwd,white,116891.0,36516.042921799,114000.0,4,2013.75,3.2015621187164096,2015.0,4,16600.0,5514.22403123655,17750.0,4,0.312393964649109,0.0015898508348684839,0.3321821705564187
acura,SUV,gas,manual,4wd,blue,73796.0,,73796.0,1,2015.0,,2015.0,1,22499.0,,22499.0,1,0.0,0.0,0.0
acura,SUV,gas,manual,4wd,red,190000.0,,190000.0,1,2005.0,,2005.0,1,1200.0,,1200.0,1,0.0,0.0,0.0
acura,SUV,gas,manual,fwd,brown,111000.0,,111000.0,1,2014.0,,2014.0,1,14500.0,,14500.0,1,0.0,0.0,0.0
acura,SUV,gas,other,fwd,black,10332.888888888889,6431.86970181386,5722.0,9,2019.7777777777778,0.4409585518441127,2020.0,9,38612.22222222222,4635.131545538317,41990.0,9,0.622465776122895,0.00021832033043222654,0.12004311792421761
acura,SUV,gas,other,fwd,blue,3921.8,6599.0410212393745,1835.0,10,2019.8,0.6324555320337325,2020.0,10,42450.0,4869.9075966593045,43990.0,10,1.682656183701202,0.0003131278007890546,0.11472102701199775
acura,SUV,gas,other,fwd,grey,52216.0,0.0,52216.0,2,2015.0,0.0,2015.0,2,24888.0,0.0,24888.0,2,0.0,0.0,0.0
acura,SUV,gas,other,fwd,white,12298.79012345679,4503.692548109966,14028.0,81,2019.9382716049383,0.2421610524189279,2020.0,81,39893.7037037037,3243.780373439468,38990.0,81,0.366189885582349,0.00011988537264879846,0.08131058468603199
acura,SUV,other,automatic,4wd,blue,144098.0,,144098.0,1,2008.0,,2008.0,1,10295.0,,10295.0,1,0.0,0.0,0.0
acura,SUV,other,automatic,fwd,black,88188.0,,88188.0,1,2013.0,,2013.0,1,17590.0,,17590.0,1,0.0,0.0,0.0
acura,SUV,other,automatic,fwd,red,24537.0,,24537.0,1,2019.0,,2019.0,1,39000.0,,39000.0,1,0.0,0.0,0.0
acura,SUV,other,other,fwd,black,2512.0,0.0,2512.0,8,2020.0,0.0,2020.0,8,38990.0,0.0,38990.0,8,0.0,0.0,0.0
acura,SUV,other,other,fwd,blue,20813.0,0.0,20813.0,2,2019.0,0.0,2019.0,2,37990.0,0.0,37990.0,2,0.0,0.0,0.0
acura,SUV,other,other,fwd,brown,12391.0,0.0,12391.0,6,2020.0,0.0,2020.0,6,42990.0,0.0,42990.0,6,0.0,0.0,0.0
acura,SUV,other,other,fwd,silver,21272.0,0.0,21272.0,4,2018.0,0.0,2018.0,4,25990.0,0.0,25990.0,4,0.0,0.0,0.0
acura,SUV,other,other,fwd,white,48498.5,14832.364277334735,53396.0,10,2018.5,1.9578900207451178,2019.0,10,31530.0,4505.848051883982,32590.0,10,0.305831402565744,0.0009699727623210888,0.142906693684871
acura,coupe,gas,automatic,4wd,black,81320.0,,81320.0,1,2010.0,,2010.0,1,9000.0,,9000.0,1,0.0,0.0,0.0
acura,coupe,gas,automatic,4wd,white,4378.0,,4378.0,1,2017.0,,2017.0,1,139999.0,,139999.0,1,0.0,0.0,0.0
acura,coupe,gas,automatic,fwd,black,166076.25,44332.59452866318,176421.0,8,2004.125,2.948970764763304,2004.0,8,3649.0,1265.2170903502235,2999.0,8,0.2669412063956356,0.0014714505156930352,0.3467298137435526
acura,coupe,gas,automatic,fwd,blue,151997.5,2117.78480965371,151997.5,2,2004.5,2.1213203435596424,2004.5,2,5747.0,1063.4885989045674,5747.0,2,0.013933023961931676,0.0010582790439309766,0.18505108733331607
acura,coupe,gas,automatic,fwd,custom,203050.0,4313.35136523794,203050.0,2,1995.5,4.949747468305833,1995.5,2,3350.0,212.13203435596427,3350.0,2,0.021242804064210488,0.0024804547573569697,0.06332299533013859
acura,coupe,gas,automatic,fwd,green,145000.0,,145000.0,1,1997.0,,1997.0,1,3750.0,,3750.0,1,0.0,0.0,0.0
acura,coupe,gas,automatic,fwd,grey,165279.875,78825.97702251188,169801.5,8,2003.125,5.083235752381146,2005.0,8,3098.75,1445.438020611251,2997.5,8,0.47692422941699275,0.002537652793700416,0.46645841730092813
acura,coupe,gas,automatic,fwd,red,112500.0,94045.20189781082,112500.0,2,2002.5,0.7071067811865476,2002.5,2,6747.5,6006.872106179721,6747.5,2,0.8359573502027628,0.0003531120005925331,0.8902366959881025
acura,coupe,gas,automatic,fwd,silver,185129.9,47715.63692089488,186499.5,10,2003.4,2.7968235951203693,2004.0,10,3977.6,1444.7418992870512,4500.0,10,0.25774138548605535,0.00139603853205569,0.3632195040444115
